,Temperature_C,Rainfall_mm,WindSpeed_m_s,SolarRadiation_MJ_m2,Humidity_percent
2022-11-04,25.02,0.69,0.94,5.0614,65.63
2022-11-05,25.45,0.51,1.03,5.3086,62.29
2022-11-06,25.0,5.53,1.02,5.0225,72.29
2022-11-07,25.47,3.81,1.04,5.5908,70.9
2022-11-08,25.5,1.86,0.97,5.5438,66.25
2022-11-09,26.12,0.2,0.89,5.9266,60.61
2022-11-10,25.66,2.37,0.88,5.5368,66.97
2022-11-11,24.52,4.46,0.91,5.2034,73.92
2022-11-12,24.57,3.25,0.93,4.8139,71.19
2022-11-13,25.64,1.33,0.72,5.0371,65.57
2022-11-14,25.35,3.69,0.78,4.841,69.44
2022-11-15,24.98,5.05,0.81,3.9924,71.39
2022-11-16,24.32,7.9,0.86,3.6413,75.78
2022-11-17,23.76,8.98,0.87,3.5028,76.77
2022-11-18,25.04,0.74,0.68,5.6779,66.59
2022-11-19,23.9,16.97,0.7,5.239,79.56
2022-11-20,24.04,50.65,0.52,4.9243,80.68
2022-11-21,24.22,3.3,0.59,5.797,79.39
2022-11-22,23.54,3.93,0.57,4.747,81.42
2022-11-23,23.93,2.74,0.71,4.0836,77.22
2022-11-24,23.38,1.99,0.74,4.5233,76.9
2022-11-25,23.78,0.86,0.8,5.3796,74.32
2022-11-26,24.39,0.19,0.87,6.133,68.5
2022-11-27,24.8,0.6,0.75,5.449,69.47
2022-11-28,23.59,1.95,0.76,4.6106,79.25
2022-11-29,24.26,2.64,0.6,5.1182,76.6
2022-11-30,24.0,3.65,0.74,5.1391,77.65
2022-12-01,24.52,1.47,0.6,5.9995,72.07
2022-12-02,25.09,1.87,0.64,5.9616,68.43
2022-12-03,24.39,2.02,0.63,5.2354,72.03
2022-12-04,24.43,6.18,0.68,4.6766,73.99
2022-12-05,25.36,0.84,0.59,5.8418,68.03
2022-12-06,25.55,1.42,0.56,5.6158,67.2
2022-12-07,24.29,5.76,0.71,5.7103,74.13
2022-12-08,24.21,3.26,0.66,5.1689,71.28
2022-12-09,23.86,2.51,0.49,5.5378,73.3
2022-12-10,24.75,1.64,0.57,4.9666,71.14
2022-12-11,24.54,3.87,0.46,5.5555,74.86
2022-12-12,24.48,1.61,0.6,4.8518,74.27
2022-12-13,24.56,1.7,0.62,4.5955,72.83
2022-12-14,24.84,0.37,0.53,6.3816,68.62
2022-12-15,25.1,0.59,0.47,5.9942,66.32
2022-12-16,25.27,0.37,0.5,5.9131,65.76
2022-12-17,25.5,0.13,0.5,5.9093,64.16
2022-12-18,25.72,0.06,0.5,6.163,62.19
2022-12-19,25.77,0.04,0.59,6.1392,58.12
2022-12-20,25.93,0.01,0.6,6.2342,51.55
2022-12-21,25.7,0.05,0.62,6.0072,56.35
2022-12-22,25.02,2.05,0.64,5.3374,65.27
2022-12-23,25.55,1.36,0.58,4.9373,65.65
2022-12-24,25.32,1.25,0.57,5.3856,64.31
2022-12-25,25.42,0.56,0.55,5.9246,63.58
2022-12-26,25.46,0.78,0.58,5.8718,64.61
2022-12-27,25.34,0.22,0.61,4.1851,63.49
2022-12-28,25.36,0.13,0.64,5.6854,61.51
2022-12-29,24.72,0.42,0.69,5.743,61.28
2022-12-30,24.8,0.05,0.64,6.2196,57.71
2022-12-31,24.94,0.03,0.67,6.4757,55.65
2023-01-01,25.2,0.07,0.63,7.0332,57.89
2023-01-02,24.49,2.3,0.69,5.514,67.06
2023-01-03,23.64,8.05,0.83,4.5725,72.26
2023-01-04,24.34,2.33,0.72,4.7246,65.4
2023-01-05,24.26,0.62,0.63,6.1915,67.94
2023-01-06,25.49,0.57,0.71,7.0195,56.03
2023-01-07,25.0,0.4,0.62,6.5064,60.51
2023-01-08,25.21,2.29,0.6,6.0907,63.52
2023-01-09,25.23,1.69,0.58,5.4055,63.78
2023-01-10,24.71,3.43,0.57,5.9678,68.76
2023-01-11,25.0,0.4,0.57,6.0754,66.78
2023-01-12,25.35,0.15,0.66,6.5359,60.5
2023-01-13,24.99,0.02,0.67,7.1266,56.53
2023-01-14,24.64,0.01,0.71,6.9665,54.85
2023-01-15,25.36,0.03,0.67,6.959,53.16
2023-01-16,25.27,0.02,0.62,6.42,56.86
2023-01-17,24.9,0.01,0.66,6.0766,53.83
2023-01-18,25.72,0.0,0.72,7.4856,44.1
2023-01-19,26.06,0.01,0.73,7.2823,47.91
2023-01-20,26.04,0.02,0.74,7.0068,51.47
2023-01-21,26.0,0.01,0.83,7.2422,46.37
2023-01-22,25.36,0.1,0.65,5.6976,55.83
2023-01-23,26.08,0.11,0.69,5.4574,58.22
2023-01-24,26.49,0.17,0.72,6.1066,57.79
2023-01-25,26.46,0.01,0.68,7.187,54.16
2023-01-26,26.68,0.02,0.66,7.2562,48.49
2023-01-27,25.69,0.04,0.73,6.9415,50.96
2023-01-28,25.5,0.0,0.78,7.5367,49.12
2023-01-29,25.3,0.03,0.77,7.3104,50.52
2023-01-30,25.59,0.02,0.8,7.2122,49.19
2023-01-31,25.82,0.01,0.72,7.1141,51.09
2023-02-01,26.89,0.0,0.71,7.2415,49.25
2023-02-02,27.04,0.0,0.7,6.9996,47.83
2023-02-03,25.82,0.0,0.73,7.6289,45.37
2023-02-04,27.19,0.01,0.77,7.481,44.62
2023-02-05,26.43,0.01,0.76,7.4215,46.58
2023-02-06,25.7,0.0,0.79,7.4438,45.41
2023-02-07,25.82,0.02,0.8,7.363,47.65
2023-02-08,26.86,0.04,0.79,6.5906,48.6
2023-02-09,26.84,0.11,0.75,6.2786,51.95
2023-02-10,27.85,0.0,0.82,7.4062,44.29
2023-02-11,27.23,0.0,0.9,7.0553,48.65
2023-02-12,25.75,0.0,0.83,7.5907,46.3
2023-02-13,25.8,0.0,0.82,7.7671,45.15
2023-02-14,26.53,0.0,0.83,7.2718,48.08
2023-02-15,27.86,0.0,0.84,7.0627,45.06
2023-02-16,27.65,0.0,0.88,6.3607,48.97
2023-02-17,26.84,0.0,0.89,6.8131,49.24
2023-02-18,26.86,0.0,0.91,6.5338,50.64
2023-02-19,27.43,0.0,0.91,6.0434,50.35
2023-02-20,26.42,0.06,0.84,7.5295,45.08
2023-02-21,26.32,0.12,0.89,7.2514,44.43
2023-02-22,26.78,0.07,0.88,7.1618,44.76
2023-02-23,27.51,0.07,0.85,7.1474,46.09
2023-02-24,27.53,0.17,0.89,6.9146,46.9
2023-02-25,27.8,0.09,1.03,6.6019,47.72
2023-02-26,28.2,0.25,1.04,6.8894,48.75
2023-02-27,28.26,0.51,1.08,5.4902,51.31
2023-02-28,27.52,0.19,0.99,5.6957,51.19
2023-03-01,28.11,0.04,0.93,7.151,43.9
2023-03-02,28.39,0.2,1.05,6.8136,47.41
2023-03-03,28.2,0.13,0.92,6.5976,45.68
2023-03-04,27.68,0.04,0.88,7.074,44.82
2023-03-05,27.25,0.06,0.94,7.4302,47.43
2023-03-06,27.21,0.23,0.95,7.2833,51.42
2023-03-07,27.07,0.18,0.89,6.6578,55.16
2023-03-08,27.91,0.02,0.87,7.3783,48.66
2023-03-09,28.46,0.12,0.97,6.882,49.55
2023-03-10,28.83,0.08,1.11,6.0254,48.49
2023-03-11,27.65,0.17,1.02,5.6623,50.02
2023-03-12,27.55,0.95,1.0,6.1685,48.78
2023-03-13,28.17,0.2,1.08,6.4966,48.97
2023-03-14,27.57,0.81,1.07,5.6854,50.7
2023-03-15,27.1,0.59,0.9,5.1365,51.84
2023-03-16,27.87,1.75,0.96,4.5614,50.63
2023-03-17,27.86,0.27,1.03,6.3799,43.96
2023-03-18,27.73,0.08,1.16,6.9631,43.18
2023-03-19,28.45,0.04,1.06,6.1603,41.17
2023-03-20,27.74,0.21,1.14,5.2596,49.03
2023-03-21,26.34,2.69,0.69,5.977,55.39
2023-03-22,27.64,1.92,1.19,5.6431,54.89
2023-03-23,26.3,1.36,1.29,5.9321,62.78
2023-03-24,25.44,2.73,0.94,5.7598,66.62
2023-03-25,25.72,4.86,1.12,5.8704,66.84
2023-03-26,24.44,2.83,0.83,3.03,73.76
2023-03-27,26.76,0.21,0.76,6.3322,60.16
2023-03-28,27.63,0.89,0.89,6.3444,60.32
2023-03-29,27.29,0.33,0.97,6.5405,61.76
2023-03-30,26.96,0.85,0.92,6.5374,61.89
2023-03-31,26.75,1.31,1.01,6.0002,63.54
2023-04-01,27.51,2.04,0.93,6.5314,55.69
2023-04-02,27.52,4.7,1.18,5.9551,56.94
2023-04-03,26.36,10.36,1.04,6.1279,70.44
2023-04-04,24.01,25.87,0.76,5.6623,82.56
2023-04-05,23.45,31.51,0.76,5.5742,87.73
2023-04-06,24.81,3.53,0.82,5.2418,77.93
2023-04-07,24.72,1.64,0.93,5.7758,78.36
2023-04-08,25.26,0.7,1.06,4.315,74.69
2023-04-09,25.62,0.41,0.96,5.8483,71.59
2023-04-10,25.23,1.9,0.89,5.7454,72.92
2023-04-11,24.59,18.83,0.81,5.2843,78.31
2023-04-12,24.84,13.34,0.83,5.531,78.51
2023-04-13,24.17,30.74,0.87,5.1024,81.41
2023-04-14,24.71,2.51,0.76,4.8689,74.8
2023-04-15,25.08,1.87,0.92,5.6861,73.16
2023-04-16,24.94,2.54,1.03,5.0179,72.38
2023-04-17,25.68,0.71,1.04,5.2231,70.3
2023-04-18,25.11,9.46,0.98,5.1026,75.24
2023-04-19,25.61,0.32,1.1,5.3635,70.61
2023-04-20,26.13,1.2,1.02,6.1709,69.44
2023-04-21,26.89,1.63,1.01,5.9537,70.14
2023-04-22,24.35,7.33,1.36,4.4578,80.71
2023-04-23,24.68,1.86,0.77,5.0897,68.77
2023-04-24,24.74,4.67,0.57,5.718,74.47
2023-04-25,22.43,53.07,0.74,4.7995,89.5
2023-04-26,24.34,3.86,0.91,5.7317,75.65
2023-04-27,24.43,1.49,1.09,5.766,75.17
2023-04-28,25.01,3.52,1.2,4.1496,74.57
2023-04-29,24.39,3.67,1.14,4.8012,69.74
2023-04-30,23.86,3.11,1.15,4.1086,74.25
2023-05-01,24.28,0.26,1.01,3.5369,70.56
2023-05-02,25.13,0.41,0.88,5.1024,66.64
2023-05-03,24.73,0.77,1.06,3.9432,72.33
2023-05-04,24.69,1.56,0.94,5.8584,70.32
2023-05-05,24.69,0.43,0.95,6.0792,70.11
2023-05-06,25.67,0.58,1.09,6.1721,69.5
2023-05-07,25.97,0.89,1.11,5.628,70.01
2023-05-08,25.89,0.5,1.12,5.5927,69.25
2023-05-09,25.77,0.76,1.35,5.2865,67.73
2023-05-10,25.41,0.6,1.33,5.022,68.48
2023-05-11,25.72,0.29,1.24,4.9159,66.93
2023-05-12,26.3,0.13,1.11,6.5434,62.81
2023-05-13,26.75,0.26,1.12,6.3778,64.36
2023-05-14,23.73,1.24,0.88,5.4324,74.68
2023-05-15,26.35,0.09,1.03,5.065,62.55
2023-05-16,26.6,1.01,1.11,5.7305,61.43
2023-05-17,26.01,2.54,1.12,5.0446,68.24
2023-05-18,25.05,3.27,1.08,5.6947,70.24
2023-05-19,25.41,0.43,0.98,5.819,62.83
2023-05-20,25.82,0.19,0.85,6.7675,61.54
2023-05-21,26.71,0.66,0.91,5.9107,63.34
2023-05-22,26.54,0.22,0.98,5.7826,62.91
2023-05-23,26.41,1.51,1.14,5.4113,65.62
2023-05-24,25.99,0.52,1.11,5.1972,61.43
2023-05-25,25.68,0.33,1.13,5.7732,64.42
2023-05-26,25.15,0.86,1.23,4.9807,64.03
2023-05-27,24.2,0.98,1.46,4.7664,68.72
2023-05-28,24.43,1.11,1.49,6.1258,68.44
2023-05-29,24.39,0.64,1.41,4.7359,67.1
2023-05-30,24.92,0.66,1.3,5.1408,66.77
2023-05-31,25.2,0.27,1.16,4.693,60.81
2023-06-01,25.53,1.51,1.3,5.4007,65.36
2023-06-02,25.87,0.8,1.3,5.1703,62.57
2023-06-03,25.59,0.95,1.32,4.3637,64.79
2023-06-04,25.33,0.4,1.21,5.1538,63.46
2023-06-05,24.51,23.07,1.17,5.7631,69.19
2023-06-06,24.04,27.42,1.21,5.2111,74.6
2023-06-07,23.37,0.27,1.02,6.6218,60.76
2023-06-08,24.51,1.73,1.06,6.487,61.69
2023-06-09,24.48,11.38,1.17,5.1641,69.33
2023-06-10,25.35,1.82,1.17,5.5555,66.01
2023-06-11,25.25,0.05,1.15,5.2663,63.33
2023-06-12,25.32,0.03,0.93,4.6327,63.25
2023-06-13,24.64,0.13,0.96,3.7618,60.28
2023-06-14,25.15,0.15,0.92,4.6294,63.25
2023-06-15,24.58,3.43,0.95,3.403,70.74
2023-06-16,22.63,3.42,1.03,4.0087,76.26
2023-06-17,23.73,0.72,1.34,2.9158,65.25
2023-06-18,24.1,0.34,1.33,4.7059,62.61
2023-06-19,24.34,0.3,1.24,4.8456,62.24
2023-06-20,24.63,0.3,1.2,4.369,64.87
2023-06-21,24.64,0.08,1.29,3.1728,63.47
2023-06-22,24.67,0.07,1.33,3.3595,62.03
2023-06-23,24.26,0.15,1.43,2.6345,64.87
2023-06-24,23.99,0.07,1.26,3.5513,59.23
2023-06-25,24.31,0.03,1.17,5.9892,55.57
2023-06-26,23.78,0.19,1.47,3.0242,63.47
2023-06-27,23.99,0.24,1.25,3.3922,59.96
2023-06-28,24.67,0.1,1.3,5.0052,56.89
2023-06-29,24.68,0.3,1.65,3.9094,61.95
2023-06-30,24.4,0.28,1.68,3.8546,59.88
2023-07-01,23.8,0.83,1.88,2.9035,64.48
2023-07-02,23.82,0.97,1.88,3.359,64.27
2023-07-03,23.69,1.42,1.97,3.7183,66.1
2023-07-04,23.66,0.51,2.03,3.6562,63.63
2023-07-05,23.88,0.16,1.61,3.5273,59.69
2023-07-06,23.98,0.37,1.81,3.679,61.46
2023-07-07,23.42,0.22,1.93,3.0293,59.6
2023-07-08,23.38,0.12,1.9,4.8473,59.1
2023-07-09,24.4,0.05,1.46,6.149,55.99
2023-07-10,25.11,0.06,1.34,6.1663,55.76
2023-07-11,25.37,0.11,1.48,5.7936,59.06
2023-07-12,25.19,0.28,1.94,4.9802,59.29
2023-07-13,24.83,0.19,2.06,4.0339,57.74
2023-07-14,24.46,0.29,2.04,5.2918,58.09
2023-07-15,24.59,0.13,1.98,5.1686,56.88
2023-07-16,24.43,0.14,2.0,4.2262,54.21
2023-07-17,24.35,0.11,1.99,3.7567,55.77
2023-07-18,24.73,0.09,2.01,4.5518,55.11
2023-07-19,25.14,0.17,1.87,4.0786,57.5
2023-07-20,25.76,0.07,1.59,5.2555,56.13
2023-07-21,25.61,0.04,2.01,5.6926,52.83
2023-07-22,25.59,0.08,2.08,4.122,54.1
2023-07-23,25.47,0.07,2.23,3.8306,54.78
2023-07-24,25.22,0.26,2.1,3.7625,59.97
2023-07-25,24.6,1.0,2.01,3.1195,62.16
2023-07-26,24.43,0.65,2.24,2.8786,59.39
2023-07-27,24.77,0.21,2.24,4.591,55.28
2023-07-28,24.28,0.23,2.4,3.091,57.22
2023-07-29,24.97,0.2,2.14,3.7078,55.5
2023-07-30,25.19,0.52,2.02,3.4478,59.45
2023-07-31,25.88,0.83,1.87,3.7435,57.92
2023-08-01,25.25,0.54,2.54,2.875,55.88
2023-08-02,23.93,1.03,2.47,2.831,61.6
2023-08-03,24.22,0.59,2.51,2.9736,58.8
2023-08-04,24.36,0.2,2.53,2.8241,54.5
2023-08-05,24.88,0.27,2.58,3.7834,56.88
2023-08-06,25.16,0.37,2.74,4.0867,57.08
2023-08-07,24.98,0.25,2.77,5.177,57.56
2023-08-08,25.14,0.29,2.49,4.7218,57.91
2023-08-09,25.04,0.12,2.56,2.9131,57.29
2023-08-10,25.27,0.06,2.51,3.7082,53.44
2023-08-11,24.73,0.06,2.45,4.1935,57.64
2023-08-12,24.96,0.04,2.47,4.6116,57.0
2023-08-13,25.55,0.04,2.29,5.4953,53.32
2023-08-14,25.73,0.24,2.3,6.155,53.43
2023-08-15,26.12,0.81,2.57,6.0979,58.07
2023-08-16,25.82,0.74,2.57,4.4321,57.25
2023-08-17,25.79,1.13,2.77,4.2413,57.82
2023-08-18,25.45,0.8,2.67,5.4934,55.33
2023-08-19,25.04,0.2,2.31,7.1806,52.44
2023-08-20,26.01,0.03,2.26,6.9977,46.71
2023-08-21,25.85,0.38,2.57,6.1159,57.19
2023-08-22,26.62,0.85,2.45,6.7188,54.55
2023-08-23,25.47,0.15,2.53,6.3581,53.58
2023-08-24,25.34,0.08,2.22,6.1656,53.62
2023-08-25,26.05,0.06,2.5,6.6499,51.39
2023-08-26,26.15,0.09,2.5,7.0147,49.86
2023-08-27,26.29,0.08,2.57,7.188,50.61
2023-08-28,25.79,0.21,3.24,4.3373,52.67
2023-08-29,25.84,0.31,3.17,4.7458,53.26
2023-08-30,25.5,0.55,3.18,3.1351,54.4
2023-08-31,26.04,0.29,2.56,3.9346,51.95
2023-09-01,26.5,0.14,2.54,5.0786,51.15
2023-09-02,26.53,0.19,2.5,5.7674,52.48
2023-09-03,26.26,0.17,2.76,6.8813,53.9
2023-09-04,25.89,0.15,2.99,5.2603,52.57
2023-09-05,26.5,0.13,2.54,5.8651,53.37
2023-09-06,27.25,0.09,2.25,6.1978,50.39
2023-09-07,27.63,0.49,2.23,5.3935,54.33
2023-09-08,26.51,0.7,2.49,3.5326,56.63
2023-09-09,25.76,0.54,2.49,3.6794,55.25
2023-09-10,26.61,0.08,2.72,5.2586,49.04
2023-09-11,27.28,0.18,2.65,5.6623,52.55
2023-09-12,27.72,0.06,1.96,6.2772,50.46
2023-09-13,26.92,0.61,2.77,4.5413,58.57
2023-09-14,26.36,0.11,3.2,6.1514,50.7
2023-09-15,26.84,0.15,2.78,4.5638,50.25
2023-09-16,26.83,0.06,2.45,5.5118,49.47
2023-09-17,26.95,0.11,2.36,6.4255,49.27
2023-09-18,27.32,0.06,2.12,6.115,47.13
2023-09-19,27.58,0.11,2.43,4.6985,50.47
2023-09-20,27.63,0.1,2.2,5.9412,49.66
2023-09-21,27.9,0.08,2.54,5.9047,50.1
2023-09-22,27.3,0.16,2.2,6.2849,52.41
2023-09-23,27.31,0.24,2.45,5.7706,51.69
2023-09-24,27.1,0.38,2.45,4.5677,52.08
2023-09-25,27.25,0.46,2.26,6.3758,50.34
2023-09-26,27.82,0.11,2.27,5.9345,44.2
2023-09-27,27.4,0.21,2.02,6.049,49.62
2023-09-28,27.45,0.43,2.24,4.561,53.47
2023-09-29,27.7,0.5,2.24,6.6401,55.31
2023-09-30,27.86,0.34,2.38,5.6954,51.84
2023-10-01,27.68,0.31,2.04,5.7766,50.61
2023-10-02,27.25,0.08,2.02,6.7433,43.06
2023-10-03,27.12,0.82,2.18,6.8537,51.21
2023-10-04,26.44,3.08,2.3,4.2206,61.95
2023-10-05,26.59,0.41,2.12,4.7131,56.56
2023-10-06,26.92,0.91,2.11,6.1877,57.53
2023-10-07,26.86,0.68,1.94,6.6274,52.37
2023-10-08,27.09,0.02,1.67,7.0882,43.81
2023-10-09,27.65,0.26,1.76,7.037,48.31
2023-10-10,27.22,1.54,1.8,6.3996,54.41
2023-10-11,27.02,0.3,1.84,6.1306,49.93
2023-10-12,27.85,0.22,1.39,6.2081,43.49
2023-10-13,27.98,0.16,1.41,6.4802,47.04
2023-10-14,28.48,0.12,1.22,6.4138,48.19
2023-10-15,27.0,8.0,1.31,5.8402,61.88
2023-10-16,26.8,10.87,1.36,5.0218,66.7
2023-10-17,27.32,0.9,1.23,5.3537,60.08
2023-10-18,27.09,6.11,1.46,5.7739,61.67
2023-10-19,26.53,7.82,1.59,4.3831,65.87
2023-10-20,26.42,17.71,1.47,5.6738,64.77
2023-10-21,25.85,4.96,1.32,5.4432,69.32
2023-10-22,25.92,0.56,1.1,5.8999,56.0
2023-10-23,25.81,0.57,1.16,6.3166,55.71
2023-10-24,26.49,4.68,1.02,6.1474,65.28
2023-10-25,26.04,9.95,1.08,5.5685,70.35
2023-10-26,25.5,9.83,1.14,4.5451,68.06
2023-10-27,25.1,6.55,0.88,5.9628,71.11
2023-10-28,25.66,2.75,1.04,5.7214,66.87
2023-10-29,25.77,3.2,0.97,5.2555,66.24
2023-10-30,24.48,12.54,1.04,5.4461,74.38
2023-10-31,23.84,30.38,0.94,5.4641,79.04
2023-11-01,24.58,6.78,0.97,5.1058,75.83
2023-11-02,24.09,6.09,1.0,3.138,77.45
2023-11-03,22.19,42.32,0.91,3.8534,89.03
2023-11-04,23.29,2.07,0.87,5.0458,80.63
2023-11-05,24.57,4.41,0.8,4.0428,78.96
2023-11-06,23.57,10.9,0.97,5.1077,83.03
2023-11-07,24.39,3.47,0.82,4.7674,77.51
2023-11-08,24.19,4.2,0.68,3.2676,81.19
2023-11-09,23.98,8.47,0.72,5.49,83.26
2023-11-10,24.31,16.04,0.66,4.9524,81.52
2023-11-11,23.37,20.87,0.71,4.6126,85.34
2023-11-12,23.56,20.2,0.62,4.2739,84.78
2023-11-13,23.52,7.87,0.61,5.1192,87.15
2023-11-14,23.66,0.66,0.59,4.9097,82.5
2023-11-15,24.58,2.84,0.71,5.1108,79.75
2023-11-16,24.23,7.66,0.91,4.8012,84.68
2023-11-17,24.19,8.39,0.92,5.6306,83.64
2023-11-18,24.44,4.06,0.96,5.4535,79.73
2023-11-19,22.64,9.4,0.93,4.0027,85.65
2023-11-20,23.77,7.78,0.68,4.4952,80.19
2023-11-21,23.74,15.86,0.58,4.8096,84.95
2023-11-22,23.66,7.58,0.59,4.8367,86.14
2023-11-23,23.91,4.62,0.52,4.4083,83.11
2023-11-24,22.78,7.57,0.46,3.1015,83.11
2023-11-25,23.8,10.5,0.5,5.1607,79.21
2023-11-26,23.83,5.87,0.54,4.6553,84.6
2023-11-27,23.59,1.74,0.44,5.8154,82.5
2023-11-28,23.41,0.4,0.42,5.34,82.48
2023-11-29,24.19,0.33,0.62,6.3461,76.01
2023-11-30,23.61,1.31,0.54,5.6434,78.96
2023-12-01,22.95,2.93,0.43,6.1824,78.36
2023-12-02,23.95,0.11,0.57,5.8339,73.12
2023-12-03,23.92,0.17,0.57,5.2913,72.06
2023-12-04,23.86,0.16,0.48,5.4242,75.38
2023-12-05,23.91,1.29,0.51,6.1723,76.76
2023-12-06,24.25,0.11,0.5,5.9318,74.35
2023-12-07,24.49,0.0,0.56,6.911,71.08
2023-12-08,24.66,0.02,0.49,7.0106,71.68
2023-12-09,24.35,0.1,0.51,5.9818,73.18
2023-12-10,23.88,3.12,0.54,4.4974,79.51
2023-12-11,24.54,1.58,0.47,5.2642,74.16
2023-12-12,24.66,2.55,0.44,5.3921,77.81
2023-12-13,25.04,4.25,0.43,5.4382,78.24
2023-12-14,24.92,3.56,0.52,4.9699,81.07
2023-12-15,24.44,7.09,0.64,4.6877,84.03
2023-12-16,24.1,5.59,0.56,3.8436,82.64
2023-12-17,24.15,0.46,0.57,5.8322,79.22
2023-12-18,24.99,0.27,0.55,6.0792,74.12
2023-12-19,24.63,0.05,0.48,5.3446,70.85
2023-12-20,25.28,0.1,0.5,5.7252,70.49
2023-12-21,25.25,0.05,0.53,6.2698,72.51
2023-12-22,24.98,1.1,0.51,5.3899,73.13
2023-12-23,25.52,2.65,0.5,4.9133,72.76
2023-12-24,25.61,2.1,0.47,5.5598,76.16
2023-12-25,24.97,2.38,0.45,5.5858,80.17
2023-12-26,24.89,2.9,0.65,4.6675,77.65
2023-12-27,25.25,0.55,0.57,6.5467,70.9
2023-12-28,25.23,1.3,0.43,6.6094,73.07
2023-12-29,25.17,1.49,0.5,5.6887,75.03
2023-12-30,25.51,0.21,0.5,5.5541,72.55
2023-12-31,25.55,1.42,0.48,5.6515,70.42
2024-01-01,25.72,1.75,0.49,5.5999,67.73
2024-01-02,25.52,0.77,0.5,5.669,67.74
2024-01-03,25.04,0.18,0.52,5.9899,64.44
2024-01-04,26.04,0.62,0.53,5.9945,60.02
2024-01-05,26.22,0.81,0.53,5.7919,59.22
2024-01-06,25.5,1.8,0.51,5.0455,65.17
2024-01-07,25.86,1.05,0.53,4.8569,62.42
2024-01-08,25.17,0.54,0.6,5.7432,62.83
2024-01-09,25.0,0.45,0.56,5.6213,61.12
2024-01-10,24.93,0.21,0.62,5.0071,58.36
2024-01-11,25.17,0.21,0.44,4.865,58.49
2024-01-12,25.38,1.25,0.46,4.548,66.45
2024-01-13,24.94,2.88,0.49,3.0866,71.06
2024-01-14,26.54,0.66,0.48,5.0789,62.34
2024-01-15,26.71,1.04,0.51,5.9174,64.3
2024-01-16,26.3,4.19,0.52,5.6282,67.33
2024-01-17,26.85,0.65,0.4,5.0054,60.49
2024-01-18,25.12,0.69,0.42,4.6826,70.63
2024-01-19,25.88,1.2,0.54,6.2374,68.44
2024-01-20,24.59,3.82,0.6,3.473,75.2
2024-01-21,26.5,0.25,0.65,5.2313,58.25
2024-01-22,26.13,0.08,0.61,6.5765,57.94
2024-01-23,26.08,0.04,0.54,7.1834,55.97
2024-01-24,25.99,0.0,0.59,7.2029,53.31
2024-01-25,26.43,0.15,0.6,6.5815,58.75
2024-01-26,26.63,0.09,0.57,5.989,64.34
2024-01-27,26.11,0.25,0.52,6.0067,69.97
2024-01-28,26.82,0.12,0.61,6.3398,64.71
2024-01-29,26.97,0.05,0.59,6.5674,63.17
2024-01-30,26.55,0.44,0.6,6.234,66.16
2024-01-31,26.31,0.18,0.74,5.9645,66.66
2024-02-01,26.13,0.22,0.7,6.282,65.53
2024-02-02,25.88,0.01,0.57,6.3365,66.47
2024-02-03,27.38,0.06,0.68,6.5429,59.49
2024-02-04,27.36,0.03,0.67,6.0859,60.87
2024-02-05,26.71,1.01,0.61,6.4303,65.4
2024-02-06,27.02,1.83,0.63,6.5515,63.18
2024-02-07,26.19,0.54,0.62,6.2964,62.48
2024-02-08,26.59,1.18,0.7,5.694,65.98
2024-02-09,26.97,0.13,0.77,6.5717,61.13
2024-02-10,25.56,25.69,0.73,6.0014,71.45
2024-02-11,25.36,23.0,0.64,5.9234,72.51
2024-02-12,25.18,7.87,0.67,6.6595,71.7
2024-02-13,24.88,33.32,0.68,6.4402,77.12
2024-02-14,25.31,3.74,0.68,7.0759,72.92
2024-02-15,24.79,0.28,0.6,7.3327,71.45
2024-02-16,25.51,0.16,0.67,6.4114,66.37
2024-02-17,26.13,0.12,0.67,7.045,70.25
2024-02-18,27.53,0.09,0.74,7.0522,65.73
2024-02-19,28.4,0.15,0.69,6.444,60.37
2024-02-20,27.07,4.47,0.74,6.3199,70.31
2024-02-21,27.07,0.05,0.72,6.5237,64.99
2024-02-22,26.37,0.55,0.84,6.8606,67.02
2024-02-23,26.37,0.77,0.75,5.6918,66.53
2024-02-24,26.48,1.26,0.82,4.8089,70.33
2024-02-25,26.25,0.67,0.76,6.6422,66.74
2024-02-26,26.05,2.83,0.64,5.7427,67.35
2024-02-27,27.3,1.11,0.71,5.19,64.73
2024-02-28,26.62,4.4,0.74,5.9275,71.26
2024-02-29,26.55,2.63,0.71,6.5064,70.95
2024-03-01,26.53,4.21,0.85,6.6226,72.73
2024-03-02,26.63,0.5,0.81,6.8998,68.73
2024-03-03,27.38,0.22,0.79,6.5489,62.72
2024-03-04,27.56,0.06,0.75,6.5258,59.83
2024-03-05,25.4,0.65,0.82,5.9827,68.71
2024-03-06,26.44,0.81,0.77,5.9426,65.84
2024-03-07,27.0,0.08,0.87,6.6907,62.04
2024-03-08,27.85,0.12,0.98,6.8928,60.59
2024-03-09,27.45,0.86,0.94,6.2539,64.06
2024-03-10,27.53,0.68,0.83,6.2414,63.52
2024-03-11,27.31,0.07,0.94,7.0601,58.48
2024-03-12,27.01,0.06,0.84,7.529,58.32
2024-03-13,27.9,0.12,0.84,7.1669,54.25
2024-03-14,27.5,0.12,1.01,6.5122,59.11
2024-03-15,26.72,0.84,0.93,6.7548,61.52
2024-03-16,27.28,0.25,0.81,7.0738,60.16
2024-03-17,28.31,0.03,0.84,7.6949,54.97
